annotation_case_id,case_id_hidden_hash,split,sampling_stratum,difficulty_tier,spider_question_text,database_id,spider_db_schema_path,spider_db_schema_hash,foreign_key_context_path,num_checkpoints,checkpoint_material_path,endpoint_material_path,boundary_flag_visible,unverifiable_flag_visible,deep_nesting_flag_visible,ground_truth_sql_hidden_flag,cpfc_labels_hidden,model_source_hidden_flag
annot_086,hash_641252,dtest,onset_t1,easy,Show the kennels grouped by year having count greater than 43.,world_1,spider_database_schema_files/world_1_schema.sql,sha256:90a03ef3078e02c9,spider_database_schema_files/world_1_fk.json,6,checkpoint_materials/annot_086_checkpoints.json,endpoint_materials/annot_086_endpoint.json,False,False,False,True,True,True
annot_087,hash_737717,dtest,onset_t2,medium,How many students are there?,dog_kennels,spider_database_schema_files/dog_kennels_schema.sql,sha256:1b406b87d0cb430a,spider_database_schema_files/dog_kennels_fk.json,3,checkpoint_materials/annot_087_checkpoints.json,endpoint_materials/annot_087_endpoint.json,False,False,False,True,True,True
annot_088,hash_352764,dtest,onset_t2,extra_hard,Find all orders joined with countries on status.,employee_hire_evaluation,spider_database_schema_files/employee_hire_evaluation_schema.sql,sha256:781c556bce413005,spider_database_schema_files/employee_hire_evaluation_fk.json,4,checkpoint_materials/annot_088_checkpoints.json,endpoint_materials/annot_088_endpoint.json,False,False,False,True,True,True
annot_089,hash_814998,dtest,onset_t2,medium,List the singers with name greater than 53.,course_teach,spider_database_schema_files/course_teach_schema.sql,sha256:081ad6f26ba96357,spider_database_schema_files/course_teach_fk.json,3,checkpoint_materials/annot_089_checkpoints.json,endpoint_materials/annot_089_endpoint.json,False,False,False,True,True,True
annot_090,hash_566882,dtest,onset_t2,hard,Show the size and score of all cities.,cre_Doc_Template_Mgt,spider_database_schema_files/cre_Doc_Template_Mgt_schema.sql,sha256:b0c3b74066b99c40,spider_database_schema_files/cre_Doc_Template_Mgt_fk.json,5,checkpoint_materials/annot_090_checkpoints.json,endpoint_materials/annot_090_endpoint.json,False,True,True,True,True,True
annot_091,hash_840427,dtest,onset_t0,extra_hard,What is the minimum id among countries with id is premium?,customer_complaints,spider_database_schema_files/customer_complaints_schema.sql,sha256:7d67a67e52915823,spider_database_schema_files/customer_complaints_fk.json,5,checkpoint_materials/annot_091_checkpoints.json,endpoint_materials/annot_091_endpoint.json,False,False,True,True,True,True
annot_092,hash_612153,dtest,onset_t1,easy,What is the average rating of airports?,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:7280dea7ac6717bd,spider_database_schema_files/concert_singer_fk.json,3,checkpoint_materials/annot_092_checkpoints.json,endpoint_materials/annot_092_endpoint.json,False,False,False,True,True,True
annot_093,hash_167215,dtest,onset_t0,medium,Find the complaints that has the most teachers.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:b7e29ae7828a21d5,spider_database_schema_files/hospital_fk.json,3,checkpoint_materials/annot_093_checkpoints.json,endpoint_materials/annot_093_endpoint.json,False,False,True,True,True,True
annot_094,hash_955474,dtest,onset_t1,medium,What are the names of all orders?,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:43e6e45f01871476,spider_database_schema_files/soccer_1_fk.json,4,checkpoint_materials/annot_094_checkpoints.json,endpoint_materials/annot_094_endpoint.json,False,False,False,True,True,True
annot_095,hash_244356,dtest,onset_t2,easy,"What concerts have count in (true, B)?",hospital,spider_database_schema_files/hospital_schema.sql,sha256:b20dd41d68fec673,spider_database_schema_files/hospital_fk.json,5,checkpoint_materials/annot_095_checkpoints.json,endpoint_materials/annot_095_endpoint.json,False,True,False,True,True,True
annot_096,hash_303861,dtest,boundary,medium,Which countries has the highest budget?,world_1,spider_database_schema_files/world_1_schema.sql,sha256:4b232a3c1feef80a,spider_database_schema_files/world_1_fk.json,5,checkpoint_materials/annot_096_checkpoints.json,endpoint_materials/annot_096_endpoint.json,True,False,False,True,True,True
annot_097,hash_455612,dtest,onset_t0,medium,Find all countries joined with courses on salary.,hospital,spider_database_schema_files/hospital_schema.sql,sha256:2cd3a643cbb7a1c9,spider_database_schema_files/hospital_fk.json,5,checkpoint_materials/annot_097_checkpoints.json,endpoint_materials/annot_097_endpoint.json,False,False,False,True,True,True
annot_098,hash_554605,dtest,onset_t2,easy,"What employees have status in (true, inactive)?",store_1,spider_database_schema_files/store_1_schema.sql,sha256:cf616822d7eb421c,spider_database_schema_files/store_1_fk.json,5,checkpoint_materials/annot_098_checkpoints.json,endpoint_materials/annot_098_endpoint.json,False,False,False,True,True,True
annot_099,hash_109435,dtest,onset_t1,medium,What is the minimum score among employees with score is true?,concert_singer,spider_database_schema_files/concert_singer_schema.sql,sha256:4562c2b532812e44,spider_database_schema_files/concert_singer_fk.json,5,checkpoint_materials/annot_099_checkpoints.json,endpoint_materials/annot_099_endpoint.json,False,False,False,True,True,True
annot_100,hash_547556,dtest,uncertain,easy,List the kennels with name greater than 13.,soccer_1,spider_database_schema_files/soccer_1_schema.sql,sha256:b158f14e93bfe596,spider_database_schema_files/soccer_1_fk.json,4,checkpoint_materials/annot_100_checkpoints.json,endpoint_materials/annot_100_endpoint.json,False,True,False,True,True,True
