sample_id,case_id,spider_question_id,database_id,split,included_current_local,included_gpt4,included_claude3,reason_if_missing
cms_0332,dtest_case_0332,q333,db_128,cross_model,True,True,True,shared_across_all_models
cms_0333,dtest_case_0333,q334,db_033,cross_model,True,True,True,shared_across_all_models
cms_0334,dtest_case_0334,q335,db_176,cross_model,True,True,True,shared_across_all_models
cms_0335,dtest_case_0335,q336,db_187,cross_model,True,True,True,shared_across_all_models
cms_0336,dtest_case_0336,q337,db_115,cross_model,True,True,True,shared_across_all_models
cms_0337,dtest_case_0337,q338,db_119,cross_model,True,True,True,shared_across_all_models
cms_0338,dtest_case_0338,q339,db_022,cross_model,True,True,True,shared_across_all_models
cms_0339,dtest_case_0339,q340,db_158,cross_model,True,True,True,shared_across_all_models
cms_0340,dtest_case_0340,q341,db_038,cross_model,True,True,True,shared_across_all_models
cms_0341,dtest_case_0341,q342,db_109,cross_model,True,True,True,shared_across_all_models
cms_0342,dtest_case_0342,q343,db_051,cross_model,True,True,True,shared_across_all_models
cms_0343,dtest_case_0343,q344,db_182,cross_model,True,True,True,shared_across_all_models
cms_0344,dtest_case_0344,q345,db_008,cross_model,True,True,True,shared_across_all_models
cms_0345,dtest_case_0345,q346,db_027,cross_model,True,True,True,shared_across_all_models
cms_0346,dtest_case_0346,q347,db_027,cross_model,True,True,True,shared_across_all_models
cms_0347,dtest_case_0347,q348,db_021,cross_model,True,True,True,shared_across_all_models
cms_0348,dtest_case_0348,q349,db_030,cross_model,True,True,True,shared_across_all_models
cms_0349,dtest_case_0349,q350,db_097,cross_model,True,True,True,shared_across_all_models
cms_0350,dtest_case_0350,q351,db_028,cross_model,True,True,True,shared_across_all_models
cms_0351,dtest_case_0351,q352,db_111,cross_model,True,True,True,shared_across_all_models
cms_0352,dtest_case_0352,q353,db_192,cross_model,True,True,True,shared_across_all_models
cms_0353,dtest_case_0353,q354,db_197,cross_model,True,True,True,shared_across_all_models
cms_0354,dtest_case_0354,q355,db_061,cross_model,True,True,True,shared_across_all_models
cms_0355,dtest_case_0355,q356,db_048,cross_model,True,True,True,shared_across_all_models
cms_0356,dtest_case_0356,q357,db_147,cross_model,True,True,True,shared_across_all_models
cms_0357,dtest_case_0357,q358,db_004,cross_model,True,True,True,shared_across_all_models
cms_0358,dtest_case_0358,q359,db_035,cross_model,True,True,False,output_format_error
cms_0359,dtest_case_0359,q360,db_192,cross_model,True,True,True,shared_across_all_models
cms_0360,dtest_case_0360,q361,db_049,cross_model,True,True,True,shared_across_all_models
cms_0361,dtest_case_0361,q362,db_017,cross_model,True,True,True,shared_across_all_models
cms_0362,dtest_case_0362,q363,db_172,cross_model,True,True,True,shared_across_all_models
cms_0363,dtest_case_0363,q364,db_158,cross_model,True,True,True,shared_across_all_models
cms_0364,dtest_case_0364,q365,db_046,cross_model,True,True,True,shared_across_all_models
cms_0365,dtest_case_0365,q366,db_117,cross_model,True,True,True,shared_across_all_models
cms_0366,dtest_case_0366,q367,db_006,cross_model,True,True,True,shared_across_all_models
cms_0367,dtest_case_0367,q368,db_099,cross_model,True,False,True,api_timeout
cms_0368,dtest_case_0368,q369,db_124,cross_model,False,True,True,tokenization_mismatch
